School unit name,Elementary school cases,Middle school cases,High school cases,Gender,Reporting date
School 809,127,2,697,M,2021-02-25
School 603,7,157,133,F,2020-12-22
School 904,172,158,470,F,2021-01-29
School 727,198,123,727,F,2020-08-16
School 62,128,131,460,F,2021-04-25
School 153,79,69,983,F,2020-10-06
School 100,109,31,835,F,2021-04-04
School 11,195,29,99,F,2021-02-24
School 968,173,129,639,F,2021-02-10
School 273,64,155,197,F,2021-06-21
School 79,57,10,392,F,2021-02-22
School 957,29,107,132,M,2020-11-07
School 416,52,122,817,F,2020-11-10
School 99,79,157,85,F,2021-01-18
School 83,154,84,259,M,2021-05-17
School 859,75,177,46,F,2020-12-31
School 423,175,190,367,M,2021-06-21
School 678,102,101,661,M,2021-05-02
School 679,123,190,936,F,2021-05-29
School 983,31,64,420,F,2020-12-23
School 148,72,92,333,M,2020-11-30
School 464,9,15,789,M,2020-12-03
School 34,32,172,593,F,2021-05-09
School 226,18,92,141,F,2021-03-29
School 445,105,143,947,M,2021-03-31
School 877,171,164,32,M,2021-04-27
School 662,52,74,451,M,2020-09-27
School 511,129,105,450,F,2021-04-29
School 743,180,5,551,M,2020-12-28
School 423,157,146,360,M,2020-10-29
School 879,134,134,853,F,2021-05-10
School 709,168,30,727,M,2021-06-13
School 564,115,138,11,M,2021-05-21
School 557,109,114,932,F,2020-12-27
School 177,174,192,378,F,2021-03-20
School 118,128,131,436,F,2021-03-01
School 690,2,128,553,M,2021-03-27
School 686,51,76,927,F,2020-11-21
School 736,39,133,482,F,2020-12-25
School 196,188,43,816,F,2021-04-14
School 52,97,94,232,M,2021-01-10
School 693,168,125,326,M,2021-04-08
School 646,1,40,180,F,2020-11-28
School 659,105,63,774,M,2020-09-04
School 137,2,190,97,F,2021-05-30
School 25,95,100,949,M,2021-02-14
School 21,106,151,978,F,2021-03-28
School 841,27,182,719,F,2021-05-05
School 726,117,184,460,M,2020-08-07
School 275,194,171,466,M,2021-05-08
